epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.386,1.72278,3.68863,1.17425,0.00566,0.97595,0.01111,0.0049,1.41645,4.0731,1.08327,0.00034,0.00034,0.00034
2,321.371,1.57886,2.14126,1.18097,0.0015,0.25852,0.001,0.00035,1.4645,4.46148,1.27029,0.00068614,0.00068614,0.00068614
3,486.131,1.59017,1.82842,1.18226,0.00531,0.91583,0.05993,0.01822,1.49266,3.68775,1.20039,0.00101802,0.00101802,0.00101802
4,660.884,1.6141,1.76454,1.21248,0.17884,0.63727,0.37263,0.12569,1.56321,3.27635,1.25977,0.00133565,0.00133565,0.00133565
5,816.01,1.59664,1.57014,1.20237,0.65911,0.3507,0.47968,0.19948,1.49547,3.16616,1.22925,0.00163902,0.00163902,0.00163902
6,974.385,1.54787,1.44098,1.21883,0.78179,0.26566,0.48759,0.24599,1.60291,2.9734,1.30884,0.001802,0.001802,0.001802
7,1127.54,1.59997,1.40021,1.18741,0.81789,0.41283,0.63254,0.34562,1.52417,2.73468,1.27064,0.0017624,0.0017624,0.0017624
8,1287.3,1.55224,1.32866,1.18992,0.78074,0.82778,0.88059,0.48334,1.48545,1.75709,1.22678,0.0017228,0.0017228,0.0017228
9,1447.98,1.51554,1.30181,1.16529,0.80346,0.87659,0.88387,0.49837,1.47534,1.51297,1.24151,0.0016832,0.0016832,0.0016832
10,1606.42,1.49051,1.15504,1.15766,0.95353,0.92986,0.98039,0.56647,1.44248,1.20047,1.23513,0.0016436,0.0016436,0.0016436
11,1754.1,1.46311,1.09371,1.14475,0.93108,0.88176,0.94932,0.53519,1.38742,1.16427,1.21386,0.001604,0.001604,0.001604
12,1908.62,1.45884,1.14142,1.15454,0.94357,0.95391,0.95846,0.5608,1.3484,1.18406,1.19783,0.0015644,0.0015644,0.0015644
13,2057.35,1.37148,1.01467,1.12332,0.92088,0.96393,0.97596,0.57521,1.38457,1.17771,1.21606,0.0015248,0.0015248,0.0015248
14,2223.82,1.4037,0.97845,1.13739,0.96588,0.91583,0.97556,0.58142,1.37709,1.12217,1.21635,0.0014852,0.0014852,0.0014852
15,2380.84,1.3702,0.92909,1.13483,0.97728,0.94813,0.98528,0.58955,1.38397,1.03551,1.19624,0.0014456,0.0014456,0.0014456
16,2522.64,1.36814,0.95859,1.11542,0.86672,0.82105,0.91298,0.56709,1.37108,1.2913,1.188,0.001406,0.001406,0.001406
17,2668.12,1.40054,0.93739,1.13482,0.94239,0.91794,0.95819,0.59501,1.45671,1.03504,1.24829,0.0013664,0.0013664,0.0013664
18,2825.71,1.36269,0.92239,1.10017,0.96329,0.94668,0.97219,0.59374,1.39992,1.01676,1.2336,0.0013268,0.0013268,0.0013268
19,2974.12,1.26325,0.92997,1.0917,0.91957,0.93988,0.94392,0.61661,1.23769,0.96871,1.13864,0.0012872,0.0012872,0.0012872
20,3131.18,1.24048,0.83019,1.08634,0.95517,0.96994,0.98172,0.6335,1.31639,0.89151,1.20311,0.0012476,0.0012476,0.0012476
21,3275.3,1.2915,0.79527,1.095,0.96713,0.97194,0.98532,0.64863,1.28946,0.77044,1.17984,0.001208,0.001208,0.001208
22,3424.38,1.25802,0.79046,1.07271,0.9529,0.97307,0.98227,0.65372,1.24651,0.75532,1.14207,0.0011684,0.0011684,0.0011684
23,3570.26,1.36643,0.82447,1.09347,0.96657,0.98494,0.98405,0.64805,1.21857,0.72613,1.13381,0.0011288,0.0011288,0.0011288
24,3712.07,1.26374,0.78177,1.08102,0.94465,0.95759,0.97044,0.63292,1.30964,0.7987,1.16957,0.0010892,0.0010892,0.0010892
25,3861.35,1.25477,0.78653,1.1015,0.97521,0.96994,0.98725,0.62849,1.30328,0.75293,1.16489,0.0010496,0.0010496,0.0010496
26,4007.82,1.24151,0.80141,1.05872,0.97919,0.97796,0.9894,0.61823,1.31929,0.80295,1.17198,0.00101,0.00101,0.00101
27,4156.29,1.25799,0.76353,1.09597,0.97425,0.98585,0.98919,0.56926,1.434,0.75712,1.24482,0.0009704,0.0009704,0.0009704
28,4307.39,1.26081,0.77353,1.08565,0.9775,0.98397,0.98939,0.68055,1.2134,0.67544,1.13998,0.0009308,0.0009308,0.0009308
29,4451.52,1.2505,0.71409,1.05234,0.96272,0.98338,0.98278,0.65674,1.21482,0.69314,1.14381,0.0008912,0.0008912,0.0008912
